content,score,at,bank,source
good,5,2025-09-03 02:28:18,CBE,Google Play
My account is not working,4,2025-09-03 00:04:38,CBE,Google Play
The recent update is not optimized fir latest version of android,2,2025-09-02 06:10:49,CBE,Google Play
topp,5,2025-09-01 15:56:29,CBE,Google Play
very good,5,2025-09-01 08:10:58,CBE,Google Play
I appreciate it,5,2025-09-01 06:35:43,CBE,Google Play
v.good app,5,2025-09-01 03:55:18,CBE,Google Play
Nice,4,2025-08-31 08:28:41,CBE,Google Play
sahib amin jamal,1,2025-08-30 14:26:53,CBE,Google Play
installi,5,2025-08-30 14:20:04,CBE,Google Play
good,5,2025-08-30 07:13:41,CBE,Google Play
very good apps,5,2025-08-30 06:46:50,CBE,Google Play
👍👍👍👍,1,2025-08-30 02:26:21,CBE,Google Play
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-29 20:30:02,CBE,Google Play
"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29 12:06:10,CBE,Google Play
tinishu titiba,5,2025-08-29 09:42:12,CBE,Google Play
"essy to use ,has great interface and user-friendly g",5,2025-08-29 07:03:47,CBE,Google Play
Yuuuuu,5,2025-08-29 00:17:46,CBE,Google Play
I found it very much friendly,5,2025-08-29 00:17:23,CBE,Google Play
"Very useful app, while we use CBE.",5,2025-08-28 07:54:51,CBE,Google Play
woooow,5,2025-08-28 06:52:45,CBE,Google Play
Redmi,1,2025-08-28 01:54:19,CBE,Google Play
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28 01:52:41,CBE,Google Play
kamil aweil,5,2025-08-27 20:25:00,CBE,Google Play
nice,3,2025-08-27 18:50:14,CBE,Google Play
In your next update can you come with night mode future,5,2025-08-27 13:45:17,CBE,Google Play
"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,2025-08-27 10:43:57,CBE,Google Play
mayreba app you its better if you use other banks,1,2025-08-27 03:54:04,CBE,Google Play
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,1,2025-08-27 03:17:03,CBE,Google Play
good app,5,2025-08-27 00:46:25,CBE,Google Play
let us know before you shut down the app,4,2025-08-26 22:18:40,CBE,Google Play
excited,5,2025-08-26 21:15:35,CBE,Google Play
amizing,5,2025-08-26 11:34:24,CBE,Google Play
love it,5,2025-08-26 05:40:03,CBE,Google Play
yes it is v good,5,2025-08-26 04:38:59,CBE,Google Play
A great update in the Mobile Banking Application. Thanks for the System and customization department,5,2025-08-26 02:02:10,CBE,Google Play
this app is smart.,5,2025-08-26 00:48:49,CBE,Google Play
I am happy,5,2025-08-25 23:42:43,CBE,Google Play
good,5,2025-08-25 20:55:23,CBE,Google Play
Still I have not face critical problems sometimes delay to open,4,2025-08-25 14:18:39,CBE,Google Play
excellent,5,2025-08-25 14:13:19,CBE,Google Play
ጤና ከድረ,5,2025-08-25 11:19:27,CBE,Google Play
The connection between bank and the app is lag relationship this must be corrected.,4,2025-08-25 10:45:17,CBE,Google Play
I have forgotten mobail banking password,5,2025-08-25 10:08:03,CBE,Google Play
nice app,5,2025-08-25 02:22:01,CBE,Google Play
Thank you,5,2025-08-25 00:10:49,CBE,Google Play
muktaar Abraahim,5,2025-08-24 21:55:32,CBE,Google Play
🤞Good One,5,2025-08-24 09:33:35,CBE,Google Play
why does it say change pin to 6 digits is that right?,4,2025-08-24 09:21:44,CBE,Google Play
One of the worst mobile banking apps in Ethiopia. You can't access your txn record for more than 2 weeks.,1,2025-08-24 06:18:38,CBE,Google Play
i like it and aprshat.,4,2025-08-23 12:43:55,CBE,Google Play
good,4,2025-08-23 03:54:32,CBE,Google Play
"The app has some issues I updated recently and now I am not able to send funds to my telebirr wallet, also we need to have a place we save our contacts where we usually send money to, after update I keep loosing all the important accounts.",4,2025-08-23 03:30:48,CBE,Google Play
best app and easy to use,5,2025-08-23 03:28:14,CBE,Google Play
doesn't work unless with data doesn't refresh fast other wise functions ok but after the update transferring to telebirr is not working,2,2025-08-23 03:16:14,CBE,Google Play
List of transactions can't load over months and years..,1,2025-08-23 02:46:27,CBE,Google Play
transferring money to telebirr is not working,1,2025-08-23 01:34:07,CBE,Google Play
I don't Like this app and there service fee is highl,5,2025-08-23 01:27:06,CBE,Google Play
አዲሱ Update ጥሩ አይደለም. Update ካደረግኩት በኋላ ከዚህ በፊት ስላላክባቸው የነበሩትን Save አድርጎ ይዞት የነበረውን ሁሉንም የሰዎች አካውንቶች አጥፍቶብኛል.,2,2025-08-22 22:25:32,CBE,Google Play
good,5,2025-08-22 22:07:48,CBE,Google Play
this application do not show over all transaction history,3,2025-08-22 21:51:14,CBE,Google Play
app is note active working crash,1,2025-11-30 10:57:28,BOA,Google Play
🙏👍,5,2025-11-28 16:47:54,BOA,Google Play
Very Good,5,2025-11-28 09:18:20,BOA,Google Play
goof,5,2025-11-28 02:33:37,BOA,Google Play
good!,5,2025-11-28 01:19:31,BOA,Google Play
good jop,5,2025-11-27 02:19:25,BOA,Google Play
bad exprience...it is so crushed,1,2025-11-27 00:41:15,BOA,Google Play
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26 11:52:50,BOA,Google Play
ምንም የማይ ሰራ,1,2025-11-26 02:08:10,BOA,Google Play
very good,5,2025-11-25 02:15:43,BOA,Google Play
most of the time is not working properly,1,2025-11-24 21:23:20,BOA,Google Play
good service,5,2025-11-24 15:10:24,BOA,Google Play
not use for me,3,2025-11-23 07:23:59,BOA,Google Play
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22 03:21:32,BOA,Google Play
waw,5,2025-11-20 19:49:18,BOA,Google Play
the lag is unbelievable when you need it the most this suks,1,2025-11-19 02:04:40,BOA,Google Play
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18 09:28:03,BOA,Google Play
it is a good app,5,2025-11-17 22:47:47,BOA,Google Play
it is not working at all,1,2025-11-15 09:42:13,BOA,Google Play
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15 08:29:15,BOA,Google Play
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-12 22:57:58,BOA,Google Play
fast and simple,5,2025-11-10 16:23:24,BOA,Google Play
best of best,5,2025-11-10 08:25:19,BOA,Google Play
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10 08:03:40,BOA,Google Play
good,4,2025-11-10 03:46:34,BOA,Google Play
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08 02:11:33,BOA,Google Play
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08 01:18:43,BOA,Google Play
best app,5,2025-11-08 00:40:22,BOA,Google Play
Best app,5,2025-11-07 10:15:06,BOA,Google Play
"Barely works, it always fails to connect",1,2025-11-07 05:33:56,BOA,Google Play
my fav app,5,2025-11-06 21:04:39,BOA,Google Play
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05 01:22:49,BOA,Google Play
very nice,5,2025-11-04 06:21:49,BOA,Google Play
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04 04:26:13,BOA,Google Play
I like,5,2025-11-02 05:36:02,BOA,Google Play
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01 04:12:12,BOA,Google Play
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30 12:18:43,BOA,Google Play
"the worst app ever,",1,2025-10-30 11:09:22,BOA,Google Play
better,5,2025-10-29 04:51:14,BOA,Google Play
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28 10:07:21,BOA,Google Play
this app can't open? what is problem? please solve my problem?,1,2025-10-27 16:44:21,BOA,Google Play
kiyaa makonn,5,2025-10-27 12:28:55,BOA,Google Play
very very lazy app,1,2025-10-26 13:12:22,BOA,Google Play
telebirr remittance,5,2025-10-24 06:04:33,BOA,Google Play
The best bank in 🇪🇹,5,2025-10-23 10:01:50,BOA,Google Play
its good,5,2025-10-22 09:14:24,BOA,Google Play
the worst app in my financial experience.,1,2025-10-22 03:13:16,BOA,Google Play
good for mb appliciation,5,2025-10-21 07:22:18,BOA,Google Play
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20 07:36:14,BOA,Google Play
try to easy network,4,2025-10-17 05:56:04,BOA,Google Play
hussen hassen umer,5,2025-10-16 10:05:56,BOA,Google Play
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16 01:53:31,BOA,Google Play
an exceptional banking app.,5,2025-10-15 23:51:09,BOA,Google Play
alhamdulilah,5,2025-10-10 23:38:31,BOA,Google Play
poor,5,2025-10-10 20:59:58,BOA,Google Play
Best of best,5,2025-10-08 23:31:41,BOA,Google Play
from the last week updates the app is not working Please check the problems,1,2025-10-08 10:21:32,BOA,Google Play
It's always crushing,1,2025-10-08 00:28:55,BOA,Google Play
office branches have to improve their services please,4,2025-10-06 21:22:58,BOA,Google Play
♥️♥️,5,2025-10-05 10:45:56,BOA,Google Play
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05 09:04:02,BOA,Google Play
it needs a timely update,5,2025-10-02 23:39:36,BOA,Google Play
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01 12:45:17,BOA,Google Play
Like,5,2025-10-01 12:10:29,BOA,Google Play
I can't type my otp on it.,1,2025-10-01 08:42:50,BOA,Google Play
"most of bank apps in Ethiopia are linked with ethiopian phone number, I live in US permanently so when I open BoA account, I told them where I live and to link it with email address instead of phone # as ethio phone number is not working where I live, unfortunetly my fear appeared and now when I change my phone device, it send the code to the ethio number which is not with me now. so please when u develop bank apps consider the diaspora community to use ur apps",1,2025-10-01 05:30:39,BOA,Google Play
jaajja,4,2025-09-30 03:13:07,BOA,Google Play
I love this bank the best experience ever.,5,2025-09-27 18:17:38,BOA,Google Play
"Nothing has been improved, it doesn't work like the previous version.",1,2025-09-25 10:41:02,BOA,Google Play
easy and fast,5,2025-09-23 18:20:04,BOA,Google Play
Great,5,2025-09-20 07:06:09,BOA,Google Play
mobile banking,5,2025-09-19 08:43:07,BOA,Google Play
very good,5,2025-09-18 10:31:44,BOA,Google Play
😎,5,2025-09-17 14:47:17,BOA,Google Play
"need alot of connection, chooses device, very lug even when there is connection",1,2025-09-17 03:50:17,BOA,Google Play
On my ios it's perfect but on android it barley works and don't transfer and after a while it crushed and totally stopped working. Please fix the issue my beloved bank of abyssinia.,1,2025-09-15 07:16:36,BOA,Google Play
since the last update i can open the app crashes a lot and omg its being very slow opening and loading,2,2025-09-15 07:14:20,BOA,Google Play
none,5,2025-09-14 11:21:53,BOA,Google Play
good,2,2025-09-12 22:42:59,BOA,Google Play
good,5,2025-09-12 01:11:17,BOA,Google Play
very good app i ever used,5,2025-09-11 22:25:40,BOA,Google Play
its nice app especially the transaction limit is extended but We face that BoA m.banking app doesn't respond at the activation stage strictly at SMSNG mobile phone. please try this to make safe.,4,2025-09-11 09:48:42,BOA,Google Play
zedo,5,2025-09-10 16:38:59,BOA,Google Play
please open my mobile app,5,2025-09-10 05:43:30,BOA,Google Play
it doesn't open,1,2025-09-10 02:38:37,BOA,Google Play
Very Good,5,2025-09-08 15:18:34,BOA,Google Play
masha alla,5,2025-09-07 15:23:30,BOA,Google Play
Best banking transaction application in Ethiopia !,5,2025-09-05 07:24:28,BOA,Google Play
السلام عليكم ورحمة الله وبركاته ماشاء الله تبارك الرحمن هذا التطبيق ممتاز جدا,5,2025-09-04 08:02:58,BOA,Google Play
tamaam kamal,1,2025-09-03 15:55:34,BOA,Google Play
በጣም ሐሪፍ,5,2025-09-03 05:16:27,BOA,Google Play
great 👍,5,2025-09-01 23:11:28,BOA,Google Play
goof,4,2025-08-31 23:54:57,BOA,Google Play
absiniya banki,5,2025-08-29 08:14:45,BOA,Google Play
has issue after installation and i think it doesn't work with tecno common 30,1,2025-08-26 05:05:33,BOA,Google Play
One of the best in this business,5,2025-08-25 06:34:55,BOA,Google Play
Excellent,5,2025-08-20 10:32:23,BOA,Google Play
besat🥰,5,2025-08-19 11:47:44,BOA,Google Play
unlimited experience,5,2025-08-17 23:15:44,BOA,Google Play
"as bank, u should at least hire someone good at their job bc this a joke nowadays I can't even log in or even transfer without it crashing if u fix the app I will update this review I am counting on u boa update: so they atleast fixed it but as suggestion can u put password when in final step of sending money it will feel more secure that way",4,2025-08-16 20:44:58,BOA,Google Play
very nice mobile banking app my favourite,5,2025-08-16 03:58:54,BOA,Google Play
"it almost never boots up!!! and even if it did, it crashes immediately",1,2025-08-15 04:12:02,BOA,Google Play
best apps,5,2025-08-15 04:01:49,BOA,Google Play
the worst app ever to exist in a bank history,1,2025-08-15 01:08:29,BOA,Google Play
thank you,5,2025-08-13 21:41:49,BOA,Google Play
Best mobile app in the country,5,2025-08-13 21:04:30,BOA,Google Play
not fast,2,2025-08-12 08:29:21,BOA,Google Play
keeps freezing at the front page.,1,2025-08-10 07:35:29,BOA,Google Play
it is not working on redminote 11 pro+ pls fix it,1,2025-08-07 21:03:06,BOA,Google Play
abseniya bank app,5,2025-08-07 17:00:41,BOA,Google Play
good,5,2025-08-05 07:19:00,BOA,Google Play
yes goode app,5,2025-08-03 13:19:34,BOA,Google Play
Great App,5,2025-08-02 11:34:23,BOA,Google Play
1) Crashes repeatedly 2) Takes Century to Boot 3) Repeatedly requires Update which is very annoying. 4) It doesn't ask for Password for one step confirmation when transferring money. 5) Automatically stops music when the app is launched (it doesn't really matter just fyi) Overall this have to be the worst mobile banking app I have tried so far and should not be released with all these bugs & issues.,1,2025-08-02 06:36:41,BOA,Google Play
ረጀብነሱ,1,2025-07-31 06:03:22,BOA,Google Play
The Worst Mobile Banking App.,1,2025-07-30 22:17:18,BOA,Google Play
giod,5,2025-07-30 13:13:34,BOA,Google Play
best bank in ethiopia,5,2025-07-29 09:00:02,BOA,Google Play
waqayyoo,5,2025-07-27 23:47:08,BOA,Google Play
please is not working,2,2025-07-27 10:25:36,BOA,Google Play
nothing when I need to install the Apk it say that re-up date,5,2025-07-24 23:42:43,BOA,Google Play
I can log in from any where,5,2025-07-22 17:05:42,BOA,Google Play
😇,3,2025-07-20 14:01:28,BOA,Google Play
no proplem,5,2025-07-20 07:52:05,BOA,Google Play
👍👍👍,5,2025-07-19 14:05:52,BOA,Google Play
excellent app,5,2025-07-18 06:05:21,BOA,Google Play
good work,5,2025-07-15 11:39:23,BOA,Google Play
☹️,5,2025-07-15 04:41:46,BOA,Google Play
excellent,5,2025-07-14 08:05:54,BOA,Google Play
Great BoA,5,2025-07-14 06:12:11,BOA,Google Play
Good,5,2025-07-14 05:41:54,BOA,Google Play
Okay,4,2025-07-13 10:18:06,BOA,Google Play
not working,1,2025-07-12 02:26:49,BOA,Google Play
This App is Getting worse and worse with every update,2,2025-07-11 03:03:44,BOA,Google Play
ምርጥ ነው,1,2025-07-10 05:21:42,BOA,Google Play
nice,5,2025-07-10 04:40:43,BOA,Google Play
Best app,5,2025-07-07 21:11:03,BOA,Google Play
meku,5,2025-07-07 02:47:46,BOA,Google Play
nice,4,2025-07-04 07:10:57,BOA,Google Play
awasome app go a head,5,2025-07-03 22:18:24,BOA,Google Play
😎,5,2025-07-03 02:54:18,BOA,Google Play
it sucks as hell. it crashes most of the time and takes a long time to load .,1,2025-07-02 17:31:08,BOA,Google Play
"The App is nice and easy to use but after some time it crushed and said ""Error check your device connectivity"" please fix it",3,2025-07-02 10:59:16,BOA,Google Play
Easy and very nice app to load more than the previouse but in recent time some loading problem detected.,5,2025-07-01 06:08:48,BOA,Google Play
wow,5,2025-06-30 22:41:12,BOA,Google Play
"The worst MBA I have experienced, The app crush frequently and they take to long to fix the problem even more than a week.",1,2025-06-26 23:30:30,BOA,Google Play
amazing Banks App👌👌,3,2025-06-25 07:35:00,BOA,Google Play
goof,5,2025-06-25 06:48:07,BOA,Google Play
good App fore me,5,2025-06-25 05:12:00,BOA,Google Play
"very uninterested it's not working when the ""developer mode on"" i haven't off the developer options i preferred to uninstall your app .....",1,2025-06-24 02:27:26,BOA,Google Play
fantastic,5,2025-06-22 00:50:55,BOA,Google Play
👍,4,2025-06-21 07:06:11,BOA,Google Play
it's nice to use.,5,2025-06-20 23:34:30,BOA,Google Play
app doesn't start,1,2025-06-20 22:48:21,BOA,Google Play
Excellent application,5,2025-06-18 01:24:46,BOA,Google Play
its very bad app its very slow,1,2025-06-17 01:08:55,BOA,Google Play
ብዙዬ ሺዋየ በለጠ,1,2025-06-15 09:26:48,BOA,Google Play
good,1,2025-06-15 02:16:19,BOA,Google Play
Good job!,5,2025-06-13 01:04:06,BOA,Google Play
best financial app.,5,2025-06-11 23:53:43,BOA,Google Play
ቆንጆ ነው በርቱ,5,2025-06-11 11:19:48,BOA,Google Play
the worst app humans ever created,1,2025-06-09 06:27:28,BOA,Google Play
it's not working,3,2025-06-05 01:57:36,BOA,Google Play
"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03 06:21:34,BOA,Google Play
exceptional,5,2025-06-03 00:32:35,BOA,Google Play
BoA Mobile good bank,5,2025-06-02 04:25:12,BOA,Google Play
this is worest app 24/7 loading,1,2025-06-01 05:51:10,BOA,Google Play
BoA system is confartable,5,2025-05-31 14:47:32,BOA,Google Play
"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27 11:16:27,BOA,Google Play
Good service.,3,2025-05-25 09:14:52,BOA,Google Play
the app crush frequently,1,2025-05-24 02:24:56,BOA,Google Play
good,5,2025-05-22 05:34:58,BOA,Google Play
You guys keeps getting worst,1,2025-05-21 22:57:39,BOA,Google Play
good,5,2025-05-21 09:16:49,BOA,Google Play
"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21 03:49:15,BOA,Google Play
BoA,2,2025-05-20 05:21:55,BOA,Google Play
good,5,2025-05-20 00:57:13,BOA,Google Play
but not opening on android,4,2025-05-19 07:19:32,BOA,Google Play
Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18 05:36:47,BOA,Google Play
amazing,5,2025-05-18 04:34:19,BOA,Google Play
excellent,5,2025-05-15 05:42:43,BOA,Google Play
"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11 09:07:08,BOA,Google Play
nice,5,2025-05-10 08:48:38,BOA,Google Play
"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10 02:44:44,BOA,Google Play
Best app,5,2025-05-09 06:12:56,BOA,Google Play
liking this application good 👍,5,2025-05-07 08:34:10,BOA,Google Play
"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06 08:06:33,BOA,Google Play
good,5,2025-05-06 07:44:32,BOA,Google Play
good,5,2025-05-02 11:50:25,BOA,Google Play
good,4,2025-04-30 01:23:56,BOA,Google Play
good,4,2025-04-30 00:34:17,BOA,Google Play
wow,5,2025-04-28 07:51:26,BOA,Google Play
it's really good 👍,5,2025-04-23 09:44:14,BOA,Google Play
Bad app . it stuck when you open and noting WORKS.,1,2025-04-23 04:16:20,BOA,Google Play
"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20 11:05:21,BOA,Google Play
Best,2,2025-04-19 08:38:02,BOA,Google Play
It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-18 21:15:54,BOA,Google Play
yideg,1,2025-04-17 14:18:40,BOA,Google Play
great boa,5,2025-04-10 04:33:26,BOA,Google Play
Best,5,2025-04-10 01:53:01,BOA,Google Play
boa of mobile backing,5,2025-04-09 04:32:34,BOA,Google Play
nice,5,2025-04-08 18:01:08,BOA,Google Play
faster bank of Abissinya,5,2025-04-08 06:36:23,BOA,Google Play
i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08 00:12:19,BOA,Google Play
it just doesn't work...so frustrating,1,2025-04-07 08:04:17,BOA,Google Play
like,5,2025-04-06 12:17:21,BOA,Google Play
it's not work correctly... you must have update it,1,2025-04-06 01:01:42,BOA,Google Play
"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04 12:57:29,BOA,Google Play
after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04 02:38:08,BOA,Google Play
good but they don't update enough don't add new things,3,2025-04-04 02:24:06,BOA,Google Play
very good,5,2025-04-02 22:50:56,BOA,Google Play
thank you,5,2025-04-01 17:33:00,BOA,Google Play
it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-03-31 14:27:34,BOA,Google Play
"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31 13:55:06,BOA,Google Play
good application,5,2025-03-30 11:56:40,BOA,Google Play
this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30 05:27:26,BOA,Google Play
"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29 04:29:38,BOA,Google Play
always problematic hardly works,1,2025-03-26 03:28:25,BOA,Google Play
considering the fact the bank is huge this app really bad you could do better,1,2025-03-25 08:33:59,BOA,Google Play
best app,5,2025-03-25 03:15:12,BOA,Google Play
very good,5,2025-03-25 02:56:42,BOA,Google Play
"worst app and Bank ever u be ashamed, scammer",1,2025-03-24 07:00:42,BOA,Google Play
great BoA,5,2025-03-22 02:46:56,BOA,Google Play
best,5,2025-03-21 02:32:05,BOA,Google Play
i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21 00:49:11,BOA,Google Play
good,5,2025-03-20 20:06:10,BOA,Google Play
good,5,2025-03-19 11:15:38,BOA,Google Play
there is no speed,1,2025-03-19 09:12:01,BOA,Google Play
"For anyone who wants to download it, just don't!!!",1,2025-03-19 06:02:57,BOA,Google Play
wonderful,5,2025-03-19 03:58:10,BOA,Google Play
all worck,5,2025-03-19 02:55:57,BOA,Google Play
Loved it,5,2025-03-14 07:57:04,BOA,Google Play
Wow,1,2025-03-13 17:37:53,BOA,Google Play
"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12 12:41:25,BOA,Google Play
Improved to be the best,5,2025-03-11 02:32:31,BOA,Google Play
BoA,5,2025-03-11 00:51:57,BOA,Google Play
"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-10 23:22:01,BOA,Google Play
BoA Greqt Ethiopian bank.,5,2025-03-10 22:31:05,BOA,Google Play
"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10 10:11:15,BOA,Google Play
Almost better compared to cbe where it is not qualified for,4,2025-03-09 00:50:02,BOA,Google Play
what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09 00:34:30,BOA,Google Play
Wonderfull app,5,2025-03-07 23:23:26,BOA,Google Play
i can't use this app why?,5,2025-03-07 03:28:00,BOA,Google Play
Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06 11:44:28,BOA,Google Play
Wow,4,2025-03-05 10:58:05,BOA,Google Play
bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05 04:03:56,BOA,Google Play
AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04 09:03:40,BOA,Google Play
Good app,5,2025-03-03 05:47:22,BOA,Google Play
"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-02 22:24:29,BOA,Google Play
It has good features but sometimes it doesn't work...0,1,2025-03-02 06:02:17,BOA,Google Play
Very poor proformance,1,2025-03-01 12:02:44,BOA,Google Play
It's not opening. Really frustrating,1,2025-03-01 06:18:34,BOA,Google Play
Verry Amazing App from all IB,5,2025-03-01 00:35:08,BOA,Google Play
Not working on this days,1,2025-02-26 02:29:28,BOA,Google Play
Thank you BoA,5,2025-02-23 00:06:47,BOA,Google Play
best banking app in the wworld,5,2025-02-22 08:58:17,BOA,Google Play
Nice app and it's easy to use,5,2025-02-21 01:41:42,BOA,Google Play
"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15 07:15:50,BOA,Google Play
This is help full i like ittttt,5,2025-02-14 10:09:06,BOA,Google Play
The is not functional at all?,2,2025-02-12 00:31:48,BOA,Google Play
Best bank,5,2025-02-08 00:08:52,BOA,Google Play
Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-06 22:28:37,BOA,Google Play
good,5,2025-02-04 20:32:27,BOA,Google Play
🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-03 21:48:51,BOA,Google Play
I have been using this app for two years.It is amazing.,5,2025-01-31 13:18:26,BOA,Google Play
Good 👍,5,2025-01-31 06:46:28,BOA,Google Play
Sad experience,1,2025-01-30 09:27:28,BOA,Google Play
Always do update and that is annoying,3,2025-01-26 22:11:12,BOA,Google Play
"Best app, somehow waiting a few minutes",5,2025-01-23 05:02:28,BOA,Google Play
I can't dijitalize my atm in the apollo app on my phone,1,2025-01-21 19:05:22,BOA,Google Play
Whenever I try to sign in app close please fixed it out,2,2025-01-21 08:34:22,BOA,Google Play
Beter,5,2025-01-21 01:47:47,BOA,Google Play
